City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
244,Mount Darwin,ZW,-16.7725,31.5838,76.3,75,92,3.94,overcast clouds
245,Ankazoabo,MG,-22.2833,44.5167,76.87,84,59,3.94,light rain
246,Koungou,YT,-12.7336,45.2042,80.6,83,100,3.44,moderate rain
247,Maceio,BR,-9.6658,-35.7353,87.8,58,40,13.8,scattered clouds
248,Shieli,KZ,44.1667,66.75,37.69,81,82,9.42,broken clouds
249,Seymchan,RU,62.8833,152.4333,-3.89,86,100,14.27,overcast clouds
250,Vrangel,RU,42.7297,133.0839,9.54,88,2,11.36,clear sky
251,Gallup,US,35.5281,-108.7426,39.2,35,1,8.05,clear sky
252,Saint George,US,37.1041,-113.5841,33.8,51,1,0.45,clear sky
253,Toora-Khem,RU,52.4675,96.11,6.33,92,11,0.4,few clouds
254,Genhe,CN,50.7833,121.5167,-18.49,85,3,1.95,clear sky
255,Kalmunai,LK,7.4167,81.8167,77.88,85,5,12.03,clear sky
256,Sorland,NO,67.667,12.6934,37.4,65,20,17.27,few clouds
257,Conde,BR,-7.2597,-34.9075,89.6,58,75,12.66,broken clouds
258,Road Town,VG,18.4167,-64.6167,84.2,61,40,14.97,scattered clouds
259,Portland,US,45.5234,-122.6762,42.01,87,90,4.61,overcast clouds
260,Gogrial,SS,8.5332,28.1004,83.17,14,35,4.34,scattered clouds
261,Egvekinot,RU,66.3167,-179.1667,-9.08,78,0,13.4,clear sky
262,Sinnamary,GF,5.3833,-52.95,78.96,87,75,13.78,broken clouds
263,Pitimbu,BR,-7.4706,-34.8086,89.6,58,75,12.66,broken clouds
264,Kathmandu,NP,27.7167,85.3167,48.2,71,20,2.3,few clouds
265,Piacabucu,BR,-10.4056,-36.4344,87.06,59,83,14.54,broken clouds
266,Weihai,CN,37.5017,122.1136,30.16,83,72,18.68,broken clouds
267,Trairi,BR,-3.2778,-39.2689,89.96,51,15,13.67,few clouds
268,Rexburg,US,43.826,-111.7897,24.8,80,1,12.66,clear sky
269,Tasiilaq,GL,65.6145,-37.6368,21.2,58,1,3.44,clear sky
270,Bud,US,39.447,-86.1758,10.0,56,1,6.91,clear sky
271,Sorong,ID,-0.8833,131.25,79.59,85,100,5.28,overcast clouds
272,Kahului,US,20.8947,-156.47,64.0,77,20,4.61,few clouds
273,Nome,US,64.5011,-165.4064,5.0,85,90,3.44,overcast clouds
274,Mormugao,IN,15.4,73.8,80.6,69,0,1.14,clear sky
275,Yulara,AU,-25.2406,130.9889,78.8,29,0,6.91,clear sky
276,Khash,IR,28.2211,61.2158,53.69,30,0,7.54,clear sky
277,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,90.25,63,8,2.08,clear sky
278,Luanda,AO,-8.8368,13.2343,84.2,70,75,10.36,broken clouds
279,Carballo,ES,43.213,-8.691,50.0,87,100,7.0,light rain
280,Escanaba,US,45.7453,-87.0646,-4.0,59,1,14.97,light snow
281,Pionerskiy,RU,54.9508,20.2275,8.6,85,0,11.18,clear sky
282,Juegang,CN,32.3174,121.1855,46.0,79,89,3.0,light rain
283,Cayenne,GF,4.9333,-52.3333,82.4,83,90,14.97,overcast clouds
284,Kirakira,SB,-10.4544,161.9205,78.84,82,61,7.11,broken clouds
285,Turbat,PK,26.0023,63.044,58.5,35,0,1.68,clear sky
286,Sungaipenuh,ID,-2.0833,101.3833,65.08,86,100,2.62,overcast clouds
287,Constitucion,CL,-35.3333,-72.4167,66.51,68,93,4.52,overcast clouds
288,San Quintin,MX,30.4833,-115.95,61.57,60,0,3.65,clear sky
289,Eureka,US,40.8021,-124.1637,44.01,90,1,1.01,clear sky
290,Chumikan,RU,54.7183,135.315,-7.42,83,99,25.17,overcast clouds
291,Ostrovnoy,RU,68.0531,39.5131,9.86,88,99,10.56,overcast clouds
292,Te Anau,NZ,-45.4167,167.7167,52.88,85,99,3.27,moderate rain
293,Tautira,PF,-17.7333,-149.15,75.2,83,75,1.14,broken clouds
294,Skjervoy,NO,70.0311,20.9714,26.6,63,75,9.22,light snow
295,Gazli,UZ,40.1333,63.45,54.93,49,100,6.17,overcast clouds
296,Maracaju,BR,-21.6144,-55.1683,80.74,47,0,3.51,clear sky
297,Kovdor,RU,67.5662,30.4758,12.09,96,74,5.79,broken clouds
298,Batsfjord,NO,70.6345,29.7185,19.4,86,75,21.85,snow
299,Khandyga,RU,62.6667,135.6,-34.17,82,28,2.64,scattered clouds
300,Hasaki,JP,35.7333,140.8333,39.2,70,20,3.44,few clouds
301,Awbari,LY,26.5921,12.7805,84.76,11,97,16.42,overcast clouds
302,Chhagalnaiya,BD,23.03,91.5069,61.65,54,0,4.99,clear sky
303,Tiarei,PF,-17.5333,-149.3333,75.2,83,75,1.14,broken clouds
304,Umm Lajj,SA,25.0213,37.2685,76.05,35,0,10.56,clear sky
305,Asau,RO,46.4333,26.4,28.99,74,100,2.95,light snow
306,Axim,GH,4.8699,-2.2405,83.52,76,100,8.12,overcast clouds
307,Sitka,US,57.0531,-135.33,28.4,64,75,3.44,broken clouds
308,Lata,PT,40.1629,-8.3327,54.0,91,100,1.99,overcast clouds
309,Karratha,AU,-20.7377,116.8463,79.3,68,9,10.49,clear sky
310,Mount Isa,AU,-20.7333,139.5,78.8,94,40,5.75,scattered clouds
311,Iqaluit,CA,63.7506,-68.5145,24.8,68,75,21.85,snow
312,Shu,KZ,43.5983,73.7614,35.38,86,100,2.64,overcast clouds
313,Port Elizabeth,ZA,-33.918,25.5701,68.0,94,75,8.05,broken clouds
314,Saint-Imier,CH,47.1528,6.9969,41.0,93,75,12.66,broken clouds
315,Emporia,US,38.4039,-96.1817,10.4,85,90,11.5,light snow
316,Goldap,PL,54.3063,22.3036,4.53,94,59,7.45,broken clouds
317,Springdale,US,36.1867,-94.1288,30.0,100,90,8.05,mist
318,Ukiah,US,39.1502,-123.2078,42.01,93,1,2.17,clear sky
319,Andros Town,BS,24.7,-77.7667,78.8,83,75,16.11,broken clouds
320,Paamiut,GL,61.994,-49.6678,32.04,85,65,9.55,broken clouds
321,Biak,ID,-0.9131,122.8766,77.76,80,100,1.61,overcast clouds
322,Atar,MR,20.5169,-13.0499,76.46,19,0,18.1,clear sky
323,Narsaq,GL,60.9167,-46.05,39.2,33,20,49.48,few clouds
324,Port Hedland,AU,-20.3167,118.5667,78.8,73,40,9.22,scattered clouds
325,Horodkivka,UA,49.9068,28.9847,14.88,92,100,11.86,light snow
326,Ahipara,NZ,-35.1667,173.1667,59.85,88,72,6.17,broken clouds
327,Visnes,NO,59.3556,5.2242,26.01,50,0,4.61,clear sky
328,Chifeng,CN,42.2683,118.9636,2.71,83,0,5.01,clear sky
329,Aksu,CN,41.1231,80.2644,34.11,74,100,1.92,snow
330,Ojuelos De Jalisco,MX,21.8667,-101.5833,57.61,55,22,4.59,few clouds
331,Francisco Sa,BR,-16.4758,-43.4883,73.24,86,100,9.44,overcast clouds
332,Tutoia,BR,-2.7619,-42.2744,91.4,58,20,16.11,few clouds
333,Vilyuysk,RU,63.7553,121.6247,-23.6,85,78,10.42,broken clouds
